Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.75     0.00      266     0.00     0.00  std::vector<data::frame_data, std::allocator<data::frame_data> >::size() const
  0.00      0.75     0.00      254     0.00     0.00  data::frame_data::frame_data(data::frame_data&&)
  0.00      0.75     0.00      254     0.00     0.00  void __gnu_cxx::new_allocator<data::frame_data>::destroy<data::frame_data>(data::frame_data*)
  0.00      0.75     0.00      254     0.00     0.00  void __gnu_cxx::new_allocator<data::frame_data>::construct<data::frame_data, data::frame_data>(data::frame_data*, data::frame_data&&)
  0.00      0.75     0.00      254     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl(std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl&&)
  0.00      0.75     0.00      254     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl_data&&)
  0.00      0.75     0.00      254     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_base(std::_Vector_base<unsigned int, std::allocator<unsigned int> >&&)
  0.00      0.75     0.00      254     0.00     0.00  void std::allocator_traits<std::allocator<data::frame_data> >::destroy<data::frame_data>(std::allocator<data::frame_data>&, data::frame_data*)
  0.00      0.75     0.00      254     0.00     0.00  void std::allocator_traits<std::allocator<data::frame_data> >::construct<data::frame_data, data::frame_data>(std::allocator<data::frame_data>&, data::frame_data*, data::frame_data&&)
  0.00      0.75     0.00      254     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::vector(std::vector<unsigned int, std::allocator<unsigned int> >&&)
  0.00      0.75     0.00      254     0.00     0.00  void std::__relocate_object_a<data::frame_data, data::frame_data, std::allocator<data::frame_data> >(data::frame_data*, data::frame_data*, std::allocator<data::frame_data>&)
  0.00      0.75     0.00      254     0.00     0.00  std::remove_reference<data::frame_data&>::type&& std::move<data::frame_data&>(data::frame_data&)
  0.00      0.75     0.00      250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.75     0.00      250     0.00     0.24  unsigned int* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned int*, unsigned long>(unsigned int*, unsigned long)
  0.00      0.75     0.00      250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_relocate(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.75     0.00      250     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_do_relocate(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&, std::integral_constant<bool, true>)
  0.00      0.75     0.00      250     0.00     0.00  void std::_Construct<unsigned int>(unsigned int*)
  0.00      0.75     0.00      250     0.00     0.24  unsigned int* std::__fill_n_a<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&, std::random_access_iterator_tag)
  0.00      0.75     0.00      250     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.75     0.00      250     0.00     0.00  unsigned int* std::__relocate_a<unsigned int*, unsigned int*, std::allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.75     0.00      250     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<unsigned int, void>::value, unsigned int*>::type std::__relocate_a_1<unsigned int, unsigned int>(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.75     0.00      250     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.75     0.00      250     0.00     0.00  std::iterator_traits<unsigned int*>::iterator_category std::__iterator_category<unsigned int*>(unsigned int* const&)
  0.00      0.75     0.00      250     0.00     0.24  unsigned int* std::__uninitialized_default_n<unsigned int*, unsigned long>(unsigned int*, unsigned long)
  0.00      0.75     0.00      250     0.00     0.24  unsigned int* std::__uninitialized_default_n_a<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, std::allocator<unsigned int>&)
  0.00      0.75     0.00      250     0.00     0.24  unsigned int* std::fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00      0.75     0.00      250     0.00     0.24  void std::__fill_a<unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int const&)
  0.00      0.75     0.00      225     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      0.75     0.00      225     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      0.75     0.00      216     0.00     0.00  std::vector<data::analized, std::allocator<data::analized> >::size() const
  0.00      0.75     0.00      200     0.00     0.00  data::frame_data::frame_data(data::frame_data const&)
  0.00      0.75     0.00      200     0.00     0.00  data::frame_data::frame_data()
